【-1】	来源：本文出自书《八字徵驗８講》戴永長著，聚賢館文化有限公司，ISBN，978-962-436-434-7。	
【29】	壬辰，中等干支，坐水庫通根，身旺，坐下有劫財生食，食神製殺，身旺用殺，主貴。壬辰日為壬騎龍背，亥時生，為龍歸大海，主大貴，午時龍死為下等。	壬辰中…貴…大貴…下等。
【30】	癸巳，上等干支，身坐正官、正印、正財。財官印連生，循環、清正，主高貴富貴或清貴。且身體健、有錢，生活富裕。女命癸巳，可嫁貴夫。	癸巳上…循環、清正，主高貴富貴或清貴。身體健、有錢，生活富裕。女可嫁貴夫。
【31】	甲午，中等干支，身坐死地，一生勞苦奔波，干生支，對妻子好，傷官生財，對上輩孝順。日主泄出丁火，主利他人，故對別人照顧有加，唯孤單到老，一無所有。	甲午中…一生勞苦奔波…對妻子好…對上輩孝順…主利他人，對別人照顧有加，唯孤單到老，一無所有。
【32】	乙未，中等干支，坐庫通根，財星入庫，主富，但愛財小氣，再逢命局或大運、流年沖庫，主發財。	乙未中…富，但愛財小氣。
【33】	丙申，中等干支，身弱無根，妙在丙火太陽，坐下食神生財，財生殺，壬水殺旺，映照太陽光輝，主人聰明靈氣。但殺旺攻身，老來孤獨，一輩子辛苦，不能坐享其成。	丙申中…聰明靈氣…老來孤獨，一輩子辛苦，不能坐享其成。
【34】	丁酉，上等干支，坐長生偏財、夜貴、文昌、主人高貴聰明，見識超群，受人欽佩，另有叛逆創新性格。	丁酉上…高貴聰明，見識超群，受人欽佩，另有叛逆創新性格。
【35】	戊戌，中等干支，坐庫通根，土太燥，吉帶凶。魁罡主人心直口快，臨事果斷，也主聰明，文章振發，但不會甩陰謀，常得罪人。	戊戌中…心直口快，臨事果斷，也主聰明，文章振發，但不會用陰謀，常得罪人。
【36】	己亥，上等干支，坐正財、正官，為財官雙美，主貴。女命己亥，也可嫁貴夫。	己亥上…財官雙美，主貴。女，可嫁貴夫。
【37】	庚子，下等干支，坐傷官，女命剋夫。干支金水相生，人秀麗聰明，但耿直，講義氣。做官宜公檢法部門。	庚子下…女剋夫。…秀麗聰明，耿直，講義氣。做官宜公檢法部門。
【38】	辛丑，中等干支，通根，坐下有印比食神，主人靈秀，女命辛丑身材好，秀氣，守家。	辛丑中…靈秀，女，身材好，秀氣，守家。
【39】	壬寅，中等干支，坐下食神生偏財再生殺，又為壬騎虎背，主富貴雙全；干支相生，家庭圓滿。	壬寅中…富貴雙全…家庭圓滿。
【40】	癸卯，上等干支，坐長生、日貴，食神吐秀，主人聰明有文才。女命癸卯，生子讀書科甲。	癸卯上…聰明有文才。女，生子讀書科甲。
【41】	甲辰，中等干支，得氣通根，坐下有偏財破印，缺少貴氣，前半生不好，後半生平安，財祿豐足。	甲辰中…缺少貴氣，前半生不好，後半生平安，財祿豐足。
【42】	乙巳，上等干支，乙木向陽，英華外發，主人聰明。但泄氣，只利他人，不利己。坐下傷官、正財，正官順生，有錢，富裕。男命乙巳，多晚婚，可得賢妻。但支中傷官見官，過於剛強，不守紀律，武將者，喜開殺戒。	乙巳上…聰明…只利他人，不利己…有錢，富裕。男，多晚婚，可得賢妻。…過於剛強，不守紀律，武將者，喜開殺戒。
【43】	丙午，下等干支，坐羊刃，過剛，人聰明有文才。男命剋妻，女命剋夫，不論男女生於丙午，容易受傷而致殘。武官則不善終。	丙午下…過剛，人聰明有文才。男剋妻，女剋夫，不論男女…容易受傷而致殘。武官則不善終。
【44】	丁未，中等干支，得庫通根，坐下食神旺，主人漂亮，但好吃，女命不賢惠。	丁未中…漂亮，但好吃，女，不賢惠。
【45】	戊申，下等干支，土猴孤獨，女命早婚者易離婚或獨身，男命稍好。不論年月均漂亮，但愛情不專，作風不正，暗桃花。	戊申下…女，早婚者易離婚，或獨身，男，稍好。不論年月均漂亮，但愛情不專，作風不正，暗桃花。
【46】	己酉，上等干支，坐長生、文昌。主人好文學，聰明有文才，且土金相生，主人身體好，但干生支，畢竟生出，故得失都有。	己酉上…好文學，聰明有文才…身體好。
【47】	庚戌，中等干支，坐庫通根身強，魁罡，聰明剛毅，有文才，忠義雙全。	庚戌中…聰明剛毅，有文才，忠義雙全。
【48】	辛亥，中等干支，干支相生，金水相連，文才好（女稍差），坐沐浴，女命不貞，坐下傷官旺，不利夫。男命可得妻財，或漂亮之妻。	辛亥中…文才好（女稍差），…女，不貞，…不利夫。男，可得妻財，或妻漂亮。
【49】	壬子，下等干支，坐刃及劫財，水太旺，漂亮。女命不會持家，有多少花多少，淫賤，男命好色。男命經商發財多少，失多少。	壬子下…漂亮。女，不會持家，有多少花多少，淫賤，男，好色。男，經商發財多少，失多少。
【50】	癸丑，中等干支，坐庫通根，人秀氣，坐下殺印生比肩，利兄弟，吃力不討好，勞累奔波。	癸丑中…人秀氣…利兄弟，吃力不討好，勞累奔波。
【51】	甲寅，上等干支，坐祿通根，身旺，坐下有傷官生財，主富貴，但比肩奪財，文才差一些。女命甲寅，身強剋夫。	甲寅上…主富貴…文才差一些。女，身強剋夫。
【52】	乙卯，上等干支，坐祿通根，身旺，坐比肩，無財、清貴不富貴。上下乙木，秀氣透出，文才好、人秀氣、手腳纖細。	乙卯上…無財、清貴不富貴。…文才好、人秀氣、手腳纖細。
【53】	丙辰，上等干支，身坐魁地、支藏正印、食神、七殺，主人聰明、伶利；辰為濕土，丙為太陽，陽光普照，萬物有成。人命丙辰聰敏好動。	丙辰上…聰明、伶利…聰敏好動。
【54】	丁巳，下等干支，燈火坐丙火，陽盛陰衰，白日無光。生時丁巳，老年不能高壽。	丁巳下…生時丁巳，老年不能高壽。
【55】	戊午，下等干支，與丙年同類，坐刃過旺，女命剋夫，男命剋妻，易受傷災。戊土太燥，主人性格浮躁。	戊午下…女剋夫，男剋妻，易受傷災。…性格浮躁。
【56】	己未，中等干支，坐庫通根，身旺，坐下有殺印，主人自我意識強。女命己未身材好。	己未中…自我意識強。女，身材好。
【57】	庚申，上等干支，坐祿通根，身體好，主富貴。丑月庚申，為天月兩德，主人一生身健少疾病。女命庚申帶天月兩德，必生貴子，聰明大器。	庚申上…身體好，主富貴。
【58】	辛酉，上等干支，坐祿通根，得助，立於不敗之地，聰明有文才，有能力。	辛酉上…聰明有文才，有能力。
【59】	壬戌，上等干支，坐下財生殺，殺生印，殺印相生，主大貴或武貴，但丁壬化木逢燥土，往往變成小人或壞人。	壬戌上…主大貴或武貴，…往往變成小人或壞人。
【60】	癸亥，下等干支，玄武日，坐刃，獨斷專行，武將不善終，男命癸亥剋妻	癸亥下…獨斷專行，武將不善終，男剋妻。
